distance,flow
16,1.01338922435e-12
16,1.55823423498e-12
16,1.26482096618e-13
16,3.15682212579e-16
16,3.69856442579e-12
16,2.83359480986e-13
16,8.93043701145e-10
16,2.32972356506e-13
16,4.75743523514e-13
16,4.66044963397e-11
16,2.17985206427e-13
16,1.33020379424e-09
16,6.63521642804e-12
16,9.95282464205e-11
16,1.99372455528e-10
16,4.92026431676e-13
16,1.69937801537e-12
17,3.18993317569e-13
17,4.77964435981e-13
17,0.00202103547698
17,0.0100638644941
17,0.0710440668892
17,1.18515242574e-16
17,1.99372455528e-10
17,2.24841041359e-12
17,3.03659399208e-09
17,2.21944970248e-13
17,2.80301172863e-13
17,4.06244894854e-13
17,7.91444254107e-13
17,3.54166013317e-14
17,4.66044963397e-11
17,5.75994670062e-13
17,9.10654952865e-14
17,1.4593333505e-11
17,1.67620234596e-15
17,5.75994670062e-13
17,3.05830812309e-15
17,9.95282464205e-11
17,2.16622683092e-13
17,3.63444288046e-12
17,1.71164812835e-10
17,4.9035022933e-13
17,1.04695177686e-12
17,6.63521642804e-12
17,6.41215453365e-14
18,3.47838130777e-14
18,0.078315747069
18,3.9618037265e-16
18,4.63691315361e-15
18,2.09005544868e-13
18,5.62816822088e-14
18,2.66212775044e-15
18,2.09009746913e-13
18,3.66984923149e-13
18,4.54453298049e-16
18,3.66989125194e-13
18,5.97137866846e-18
18,2.70940516067e-15
18,1.05159831684e-12
18,1.23534929223e-11
18,6.47779698529e-13
18,4.85713316176e-13
18,2.23984058275e-12
19,0.00196474922156
19,0.0108969869669
19,0.000503415276522
19,6.13169149061e-13
19,2.04665552434e-18
19,2.27908796971e-15
19,0.00101623382529
19,3.36066975279e-16
19,4.38429167778e-13
19,6.47443631554e-13
19,4.85713316176e-13
19,2.04738492242e-16
20,0.0562950999557
20,8.43340773836e-17
20,4.0442779088e-13
20,1.1183397816e-15
20,2.51732897895e-16
20,3.40013768983e-14
20,6.43878553269e-13
20,4.85713316176e-13
21,0.0757403676363
21,0.00302714414458
21,1.62084692942e-16
21,6.46325291772e-13
21,2.04340676487e-16
21,9.56255088659e-16
21,4.85713316176e-13
21,4.73922214076e-17
22,0.00835113088521
22,0.0707362413529
22,0.00690108963069
