InputAddresses,OutputAddresses,TransactionHash,ExpectedValue
1PqAsmQWeHfPidYjmjphNpc974JnuxnHWU,1AzN6W2y1Qd5EBMwWdfhEFFRPxsNPvSBwB,292987442,1668361.37085
16BjrFfuRjbePmAfHpXba9BbRgXxRctxc5,1BdVqetvoDzgH2uS2pMZpvxoH5hhvvu5PK,292987715,1106062381.0
16BjrFfuRjbePmAfHpXba9BbRgXxRctxc5,1FJrM6DwUMXpoSsJYDSnK96W29FCXv6C9K,292987715,299946200.0
1NTi6ojQABpDHpnhhJywKpLwZuDbmAnJio,1NYGkD4mEme3c7NW3eFWTENx7UpSwKviXm,292988328,166893409.0
1NTi6ojQABpDHpnhhJywKpLwZuDbmAnJio,1GTp5a2BfcpUfo9GpEtFhHwaDvRBYhu7Yr,292988328,3650389.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,1H686BGJpLiBBKJKPV3LTenkATnJ4euVKZ,292988476,2730.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,18RFrrM3ZMhm9gYBfyDGkYKVJEnzP3ncjc,292987766,2730.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,13M7PjxH7zUXC1p1MbngNeUV56rnqoJbS1,292988472,2730.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,18UfX46MkarbHA43izkK2D5uYY6cDQqLcA,292988462,2730.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,1QCMBXyP2FjzXx2zesBKiw6NfFZRYcyDHS,292988465,2730.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,1FESMdsdaQQEcbNznFmiHMsUYXCirqWnMC,292988485,2730.0
1BVtKxdD9suGEnw2i1GvqwHvgUZ3Mi5Zdo,16QWudZppa3G3QBFNNSS2SuzZuGGXifYMb,292988640,3405135.7281
1BVtKxdD9suGEnw2i1GvqwHvgUZ3Mi5Zdo,1GvbuaM5jKPebgGZFNBDmSUpBistsUAo6L,292988640,78273.5144682
1E3G24QJnLnkTfUTnB4JdjKMSt4ozccb87,16QWudZppa3G3QBFNNSS2SuzZuGGXifYMb,292988640,26594864.2719
1E3G24QJnLnkTfUTnB4JdjKMSt4ozccb87,1GvbuaM5jKPebgGZFNBDmSUpBistsUAo6L,292988640,611333.485532
1JirEWipKGFCDDx8yibJeeMQqoZTkbBJeg,1AApNcb7MdTLSXAqMFZAHQG1Koz3rSQfgN,292988437,180000.0
15fyTWTkqRRko3DFbBQQBT251KfbmJHxRJ,12E9tWB5PqbzsLP59uYYfXbbQ2PerHX5RS,292988543,1300000.0
15fyTWTkqRRko3DFbBQQBT251KfbmJHxRJ,1MqRF1LvbTGy1VBUdVhais1DhXwgQX59CT,292988543,9584397.0
1AetLtPaUCuzpKvvTZxzpc7K66CZX37oSL,1PhHi2MAo1416wD4ktLu1jpmMGGEpmitBA,292987509,11222434.0
1AetLtPaUCuzpKvvTZxzpc7K66CZX37oSL,1MfUHXGXZw6MfqDmC49R1wGnNn9qppoRtM,292987509,782126.0
1KpWMwc3BDvRnJ7yxbDzCPPtzgx148S6bG,17LJvK3rtzGA5Jh7uJXP1dZUWiGBKM46Sk,292988571,24399846.0
1KpWMwc3BDvRnJ7yxbDzCPPtzgx148S6bG,18jT2hd6EFBXH6GjTANwesMjEjRCEc7ku7,292988571,521417.0
1BfQehN5rsc3AYZfsEyssMXHf9yxQgTSeA,14wdkxPTdrKxCMPh8oCG8WYRm5js2sWMtk,292986714,4252673.0
1BfQehN5rsc3AYZfsEyssMXHf9yxQgTSeA,1HWvUi3JDZej4gjEAMKAjDEN2S8gg9X5Gb,292986714,260708.0
1JY9ueR8RVx38BNnE9iXvoYzTonngyvYQx,1DXB4XorAMiUyGo1hnqEyrghXjRxHKX15U,292987231,6203241.0
1JY9ueR8RVx38BNnE9iXvoYzTonngyvYQx,19PHL6pxRqpMAHHQow1A97PiWdKkmRNcCR,292987231,1303544.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,12Lh3DRNN8wd8C2KXwbvGQq4FbT23fngmK,292986585,710000.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,1KTkMZzZk8AFZyhZN8QUuThd2FeLK7FHYt,292986585,4810000.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,13o8JrP59qAVYM4EELc2jPqTKJzRb4ZHA9,292986585,1205749.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,12Z8GFsSgvssVSD8P116vji9RSupCPHfPs,292986585,8085366.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,3HmXKnDqnZewFnrJZQoyx7yDNYkjQrGdbS,292986585,34990000.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,13su3Hq7MLmYJgQsW8qhfNxzenud4BouyE,292986585,8739197.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,38QjS2AnhT9yTKBFaZCKRkn9tDUNYpQSez,292986585,340680.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,1M2T8xWaUgoMXXg7tgSnRLv2YH7oeCfpXS,292986585,49990000.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,1G2ZWhkZ6mE5oKFDz2WHCQLD41QoXDg2Ey,292986585,7075500.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,3Qi5cKp5H2jc3SEdZ2evcGjwsmX9cjDPWc,292986585,3560000.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,14ht28HhDoWRXSyngus8oWf9FFtaohQMy6,292986585,1396300.0
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,16YzyVDHmXfXqQScMHo2cdAX2kr1hYsJLz,292986585,11035927.0
