distance,flow
13,1.28172176634e-10
6,2.08565203799e-05
47,1.30539805184e-19
228,4.21737597865e-09
34,6.35450462158e-17
36,1.93103202728e-05
47,1.30995889125e-12
31,2.5353209854e-09
40,6.38951228598e-14
31,6.02896758052e-06
54,2.38952537419e-09
32,2.372116866e-23
39,5.99858205918e-14
75,1.49719849107e-10
21,6.26315054704e-10
42,2.68562495384e-06
49,1.32364357525e-21
29,1.88598991502e-40
58,8.17711875805e-09
22,8.01970645469e-17
48,1.39010267989e-09
28,2.48436241079e-08
29,1.63320569596e-39
35,1.93103202728e-05
34,5.04531011545e-13
24,1.75684825628e-26
31,1.88488419634e-09
28,9.20608077317e-11
227,1.21785699674e-08
39,1.93103202728e-05
74,1.23510275425e-10
49,9.08408614483e-22
60,2.12356894693e-09
32,6.39874179027e-12
35,1.26164042416e-06
18,8.61513737706e-10
73,7.79864596534e-11
28,1.72034009313e-07
41,6.44435823405e-13
39,1.0487820519e-09
54,2.84553894074e-11
4,0.000289258770036
33,6.35450462158e-17
33,3.59368593552e-09
28,3.44068018626e-07
67,1.60064727975e-06
226,4.77769414525e-10
14,1.59574219087e-10
34,0.00246235908393
76,3.46932508693e-05
60,1.06078202793e-12
33,0.00246235908393
32,0.00246235908393
11,1.44733917198e-07
50,6.16092164802e-07
40,4.0430271322e-14
215,1.06440779081e-09
48,3.37638673506e-11
64,3.1183554765e-07
22,3.79859432785e-09
22,4.45223170509e-09
31,0.00246235908393
30,0.00246235908393
24,7.1188463152e-12
10,1.7911155546e-11
50,1.27394905145e-18
53,2.47848733776e-06
27,0.00246235908393
9,5.88113562554e-12
9,3.83786664475e-12
26,0.00246235908393
33,1.78493824595e-16
221,2.66414232717e-13
36,7.64383968259e-08
67,9.72184861756e-11
25,0.00246235908393
26,1.88582477541e-14
24,0.00246235908393
223,4.69474559401e-10
34,9.5115753887e-08
223,2.89007013876e-06
22,0.00246235908393
52,2.35823207196e-10
21,7.45872514358e-17
10,2.35304247533e-08
21,0.00246235908393
77,1.49995696549e-06
43,4.99244057282e-11
32,1.05678767122e-23
26,5.4715048254e-10
215,3.5108407189e-07
43,6.33016901562e-11
47,1.50751142902e-18
31,4.39162928156e-08
229,5.19051252134e-08
32,9.99071818211e-07
24,1.02147691896e-13
36,4.53378733745e-05
46,5.14361830638e-11
39,1.22519353231e-08
18,1.32308634108e-09
49,7.86503160844e-11
48,7.80712314929e-06
215,3.77875865991e-12
49,9.31272671948e-22
29,3.08749646836e-39
48,2.91921923839e-11
22,2.37997192534e-15
11,8.24840494853e-13
223,2.66035265497e-10
22,8.57663921658e-15
23,1.43528390633e-07
40,1.14968671676e-13
23,9.51497111148e-16
228,5.10263244877e-07
24,7.0458731494e-14
16,2.09049752747e-15
18,6.71722515416e-12
221,8.22253812322e-11
55,4.87274373626e-16
32,4.42394193559e-14
19,1.52458069648e-23
49,3.01860941432e-17
25,1.85770352579e-14
39,0.00011311445211
47,2.03677819472e-20
48,3.08123738422e-07
43,1.15851651056e-09
226,2.70054503082e-09
34,5.0697051273e-09
223,3.32544081871e-10
8,1.31816798476e-07
12,2.27502815629e-06
33,4.16054289922e-09
57,0.000101453864462
21,2.12572552868e-14
48,1.5337022143e-10
49,4.25843763094e-10
226,4.51204593932e-07
33,6.8555211478e-10
50,1.15040187811e-12
53,5.29716893888e-10
46,6.01204285292e-15
45,5.55105885807e-09
36,6.56739031372e-11
22,3.68663902865e-09
209,2.52518452767e-07
222,3.05266899323e-08
46,3.94761469432e-08
32,1.20761206928e-12
36,4.0900397989e-10
36,4.02305841988e-10
22,1.35066120624e-09
50,2.30926494914e-08
221,0.000212816681053
23,2.25488967699e-08
51,1.76424916861e-08
30,3.09288461825e-07
63,8.09719345069e-09
61,5.24792094512e-08
61,2.72333694956e-09
14,7.32205418406e-16
41,1.58324644671e-09
36,1.02868617947e-07
32,2.63324453735e-14
41,5.62938321058e-13
221,1.14659031483e-10
41,2.20611712408e-09
30,1.91781582436e-09
48,4.25843763094e-10
69,1.02470980111e-06
223,0.000334684867111
48,1.17545513241e-10
217,1.02173254983e-10
222,3.70793085832e-09
18,3.17661386689e-07
230,2.02624352579e-06
34,1.86011700294e-08
32,1.22862664064e-14
48,1.46877847368e-10
40,1.93075785346e-13
210,5.8213930854e-10
30,1.56120831538e-08
16,1.81147807769e-10
21,3.49479223458e-05
35,4.66094477841e-09
48,1.73027710752e-10
34,1.97802238716e-14
219,1.06401487407e-09
