InputTransactionIndex,OutputTransactionIndex,Value,BackFlowProbability
292609218,292987987,7623058,0.27684035425
292116712,292987987,2549657,0.0925938051495
291896425,292987987,2827707,0.102691519282
292545910,292987987,3058824,0.111084806091
291951097,292987987,2559000,0.0929331072288
292284348,292987987,2948103,0.107063842212
291905661,292987987,3460362,0.125667132785
292169086,292987987,2509224,0.0911254330024
292983059,292988758,48287507114,1.0
292985610,292988206,35025045688,1.0
292986751,292988880,1854805913,1.0
292986423,292987241,11658812057,1.0
292984829,292987581,19694817533,1.0
292986017,292988602,42858140857,1.0
292987163,292989131,8985483453,1.0
292987241,292989207,11643135785,1.0
292985782,292988339,38905594277,1.0
292985030,292987750,21884571211,1.0
292984755,292987476,19405027239,1.0
292987311,292989291,13392507716,1.0
292985257,292988025,27321180684,1.0
292954673,292988389,1800000,0.220442138348
292788147,292988389,933380,0.114309046162
292921918,292988389,1815620,0.222355086237
292957943,292988389,3616408,0.442893729254
292986911,292989046,8732082826,1.0
292983999,292986626,17452858165,1.0
292754296,292987580,1645043,0.305628337788
292986052,292987580,1584789,0.294433901007
292984950,292987580,1052460,0.195533855582
292985094,292987580,1100203,0.204403905624
292909841,292987550,6300000,0.148205224149
292973949,292987550,12100000,0.284648128922
292919494,292987550,24108623,0.567146646929
292967850,292988781,2000000,1.0
291944798,292987261,160000,1.0
292756343,292987713,7744782027,1.0
292612157,292986725,50850000,1.0
248774694,292988306,1570000,1.0
292961327,292988593,5990945,0.0634868387693
292954333,292988593,18519886,0.196257688312
292930302,292988593,68481000,0.725702239923
289254231,292988593,1373318,0.0145532329949
291899358,292987888,197860280,1.0
292649340,292988444,126000000,1.0
291551160,292986733,175000,0.0804597701149
292677414,292986733,2000000,0.919540229885
-1,292988528,968770000,1.0
287004796,292986732,96000,0.0870243124173
292980493,292986732,1007140,0.912975687583
291909242,292986737,7500000,1.0
289613420,292987653,1930923,0.655149131257
277183070,292987653,1016380,0.344850868743
292948241,292988075,13040660,1.0
292978234,292988334,9145504,1.0
292982125,292986672,3500000,1.0
292985173,292986665,1890000,1.0
292985836,292986667,9250000,1.0
292902972,292988790,1799959213,1.0
292972754,292989322,646000,1.0
292915196,292988190,18206730,1.0
292985921,292987043,22228500,1.0
280222085,292987851,59485200,0.541832596743
276982878,292987851,50300000,0.458167403257
292979292,292987324,1633683,0.629034940931
292974220,292987324,772612,0.297487299423
292974581,292987324,190831,0.0734777596466
292976010,292989130,2840539,1.0
292980667,292988763,8911780,1.0
292988763,292988822,7596639,1.0
292914297,292989268,2085450,1.0
292754563,292987822,1299177,0.000196799007833
292985220,292987822,4000000,0.000605919002055
292985094,292987822,6111821,0.000925817120265
292984839,292987822,187000000,0.0283267133461
292984584,292987822,70000000,0.010603582536
292984201,292987822,130000000,0.0196923675668
292984074,292987822,11362200,0.00172114322129
292972043,292987822,188000000,0.0284781930966
292985232,292987822,10000000,0.00151479750514
292861073,292987822,1612273,0.0002442267118
292984594,292987822,1000000,0.000151479750514
292985875,292987822,1757437,0.000266216118304
292984596,292987822,815395,0.00012351583117
292985494,292987822,1328993,0.000201315528075
292980760,292987822,199955859,0.0302892636351
292985497,292987822,89610100,0.0135741155915
292968063,292987822,184690000,0.0279767951224
292985372,292987822,1699970,0.000257511031481
292985757,292987822,8900000,0.00134816977957
292985413,292987822,1550000,0.000234793613296
292985505,292987822,4100210,0.000621098787854
292984611,292987822,2730,4.13539718903e-07
292984358,292987822,1500000,0.000227219625771
292984743,292987822,40000000,0.00605919002055
292971434,292987822,199950000,0.0302883761152
292984909,292987822,8974800,0.00135950046491
292984494,292987822,227433,3.44514940986e-05
292984307,292987822,1650000,0.000249941588348
292985523,292987822,10881461,0.00164832099751
292984244,292987822,583169,8.83382946274e-05
292984401,292987822,89000,1.34816977957e-05
292983992,292987822,900000,0.000136331775462
292984761,292987822,43430466,0.00657883615438
292985531,292987822,170060000,0.0257606463724
292985738,292987822,87342231,0.0132305793612
292985023,292987822,1782381,0.000269994629201
292985792,292987822,100000,1.51479750514e-05
292985026,292987822,8920000,0.00135119937458
292984003,292987822,24000000,0.00363551401233
292984517,292987822,1310000,0.000198438473173
292984737,292987822,6385605,0.00096728985228
292984265,292987822,406222,6.15344072132e-05
292985034,292987822,41870000,0.00634245715401
292985675,292987822,121930304,0.01846997203
292985105,292987822,3257000,0.000493369547424
292975949,292987822,199850001,0.0302732282917
292985806,292987822,47000000,0.00711954827415
292984397,292987822,8492113,0.00128638315858
292985041,292987822,39301123,0.00595332430695
292984914,292987822,5295744,0.000802197979905
292975443,292987822,188013542,0.0284802444354
292975444,292987822,189900000,0.0287660046226
292985294,292987822,10000000,0.00151479750514
292985302,292987822,890000,0.000134816977957
292985815,292987822,152517955,0.0231033817723
292985305,292987822,12500000,0.00189349688142
292985293,292987822,35609785,0.00539416134765
287152091,292987822,2307367487,0.349519451275
292985073,292987822,14531013,0.00220115422395
292985843,292987822,6694064,0.00101401514464
292985465,292987822,541002,8.19508479875e-05
292968507,292987822,199950000,0.0302883761152
292984420,292987822,638287,9.66875555162e-05
292984805,292987822,13785540,0.0020882301599
292985233,292987822,4187867,0.000634377048345
292985321,292987822,2265850,0.000343230392702
292985578,292987822,5379617,0.00081490304102
